hh_ids,m_ids_owner,trx_yr_mo,inc_i_byti,inc_i_byti_AGRI,inc_i_byti_CITMPC,inc_i_byti_NEINCG,inc_i_byti_REI,inc_i_byti_RIOI,inc_i_byti_RR,inc_i_byti_SEI
"KELDK10","56134337157200000","2013_10",10,0,0,0,0,0,0,10
"KELDK12","65134436228800000","2012_10",2.352941,0,2.352941,0,0,0,0,0
"KELDK12","65134436228800000","2012_11",90.70588,43.52941,47.17647,0,0,0,0,0
"KELDK12","65134436228800000","2013_01",53.64706,17.64706,.7058824,0,35.29412,0,0,0
"KELDK12","65134436228800000","2013_02",32.94118,0,32.94118,0,0,0,0,0
"KELDK12","65134436228800000","2013_03",40.70588,0,40.70588,0,0,0,0,0
"KELDK12","65134436228800000","2013_04",88.23529,0,88.23529,0,0,0,0,0
"KELDK12","65134436228800000","2013_05",58.82353,0,58.82353,0,0,0,0,0
"KELDK12","65134436228800000","2013_06",44.70588,0,44.70588,0,0,0,0,0
"KELDK12","65134436228800000","2013_07",194.1176,111.7647,82.35294,0,0,0,0,0
"KELDK12","65134436228800000","2013_08",32.94118,0,32.94118,0,0,0,0,0
"KELDK12","65134436228800000","2013_09",43.52941,29.41176,14.11765,0,0,0,0,0
"KELDK12","65134436388200000","2013_03",3.81e-06,0,0,0,0,0,0,3.81e-06
"KELDK12","65134436388200000","2013_04",-70.58823,0,0,0,0,0,0,-70.58823
"KELDK12","65134436388200000","2013_06",-188.2353,0,0,0,0,0,0,-188.2353
"KELDK12","65134436388200000","2013_07",-51.29412,1.647059,0,0,0,0,0,-52.94118
"KELDK12","65134436388200000","2013_08",45.88235,0,0,0,0,0,0,45.88235
"KELDK13","56134337440100000","2012_11",39.17647,0,3.294118,0,0,0,17.64706,18.23529
"KELDK13","56134337440100000","2012_12",14.82353,0,0,0,0,0,3.529412,11.29412
"KELDK13","56134337440100000","2013_01",50,0,8.82353,0,0,1.176471,32.94118,7.058824
"KELDK13","56134337440100000","2013_02",44,0,0,0,0,0,0,44
"KELDK13","56134337440100000","2013_03",41.76471,0,0,0,0,23.52941,8.235294,10
"KELDK13","56134337440100000","2013_04",45.64706,0,0,0,0,0,2.352941,43.29412
"KELDK13","56134337440100000","2013_05",64.5294,0,0,0,0,0,0,64.5294
"KELDK13","56134337440100000","2013_06",-31.94118,0,0,0,0,0,0,-31.94118
"KELDK13","56134337440100000","2013_07",75.29411,0,0,0,0,0,0,75.29411
"KELDK13","56134337440100000","2013_08",28.82353,0,6.470589,0,0,0,1.294118,21.05882
"KELDK13","56134337440100000","2013_09",27.82353,-6.529412,24.70588,0,0,0,0,9.647059
"KELDK13","56134337440100000","2013_10",-7.999999,0,5.882353,0,0,0,0,-13.88235
"KELDK14","105136582937000000","2013_04",17.64706,17.64706,0,0,0,0,0,0
"KELDK14","105136582937000000","2013_05",23.29412,23.29412,0,0,0,0,0,0
"KELDK14","105136582937000000","2013_06",37.05882,13.52941,0,0,0,0,23.52941,0
"KELDK14","105136582937000000","2013_07",9.411765,9.411765,0,0,0,0,0,0
